,Date,Close/Last,Volume,Open,High,Low
0,2024-07-03,2369.4,185930.0,2338.6,2374.5,2335.7
1,2024-07-02,2333.4,146568.0,2341.6,2346.1,2327.4
2,2024-07-01,2338.9,136861.0,2336.2,2348.8,2328.2
3,2024-06-28,2339.6,131191.0,2338.6,2350.6,2329.7
4,2024-06-27,2336.6,135784.0,2309.4,2342.0,2306.8
5,2024-06-26,2313.2,182929.0,2331.8,2335.8,2304.7
6,2024-06-25,2330.8,140179.0,2346.8,2349.7,2327.1
7,2024-06-24,2344.4,113448.0,2333.5,2347.5,2329.5
8,2024-06-21,2331.2,187501.0,2373.8,2382.6,2329.2
9,2024-06-20,2369.0,245146.0,2344.2,2379.5,2338.5
