,Date,Close,Volume,Open,High,Low
0,2024-01-19,2029.3,166078.0,2027.4,2041.9,2022.2
1,2024-01-18,2021.6,167013.0,2009.1,2025.6,2007.7
2,2024-01-17,2006.5,245194.0,2031.7,2036.1,2004.6
3,2024-01-16,2030.2,277995.0,2053.4,2062.8,2027.6
4,2024-01-12,2051.6,250946.0,2033.2,2067.3,2033.1
5,2024-01-11,2019.2,270624.0,2029.4,2056.1,2017.3
6,2024-01-10,2027.8,183625.0,2036.0,2046.2,2025.9
7,2024-01-09,2033.0,194610.0,2034.5,2048.6,2031.9
8,2024-01-08,2033.5,199325.0,2052.6,2053.3,2022.7
9,2024-01-05,2049.8,208861.0,2051.4,2071.1,2030.8
10,2024-01-04,2050.0,125573.0,2049.3,2058.1,2043.3
11,2024-01-03,2042.8,214132.0,2067.9,2074.3,2038.3
12,2024-01-02,2073.4,149926.0,2072.7,2088.1,2064.3
